Type,Origin time,Easting (m),Northing (m),Depth (m),Mag. (Mw),Stress drop (Pa),Source radius (m),Avg. Slip (m),Fc S (Hz),# of def. sta,Quality,Strike n1 (deg),Dip n1 (deg),Rake n1 (deg),Strike n2 (deg),Dip n2 (deg),Rake n2 (deg),FM Quality,Latitude (deg),Longitude (deg)
Cubarral,2020-10-24T13:50:09.379+00:00,714126,915522,2079,1.6,112887.5118,99.7355,0.00063468,4.8828,12,good,18.3,82.1,-137.5,281.1,48,-10.7,medium,3.82837,-73.6504
Cubarral,2020-10-16T20:19:49.177+00:00,715243,915616,2323,1.6,142162.0341,95.8996,0.00076853,5.0781,11,good,39.7,39.1,-136.1,272.9,64,-59.6,medium,3.82925,-73.64036
Cubarral,2020-07-27T15:42:11.623+00:00,711012,920815,2118,1.7,167454.0766,92.3477,0.00087173,5.2734,12,good,124.8,62.5,-68.3,264,34.5,-125.5,medium,3.8761,-73.67855
Cubarral,2020-07-22T04:46:29.695+00:00,713490,914820,1913,1.6,74526.9865,103.8912,0.00043647,4.6875,12,good,78.4,44.6,-84.8,251.2,45.6,-95.1,medium,3.82201,-73.6561
Cubarral,2020-04-22T03:18:56.333+00:00,712712,914175,1900,1.4,9790.1597,166.2259,0.000091738,2.9297,8,good,112.9,89.1,-43.9,203.8,46.1,-178.7,medium,3.81616,-73.66308
Cubarral,2020-04-11T20:30:28.536+00:00,714610,915804,2408,1.8,296344.4822,95.8996,0.001602,5.0781,10,good,8.6,60.6,-143,258.3,58.4,-35.3,medium,3.83093,-73.64605
Cubarral,2020-01-14T10:14:14.258+00:00,713589,914805,1972,1.7,94137.9549,103.8912,0.00055132,4.6875,9,good,182.2,84.4,134,277.9,44.3,8,medium,3.82188,-73.65521
Cubarral,2020-01-09T22:53:30.035+00:00,714677,915862,2292,1.8,96771.2053,124.6694,0.00064298,3.9063,9,good,27.7,63.9,-130.9,270.7,47.2,-36.8,medium,3.83146,-73.64545
Cubarral,2019-10-24T13:53:50.441+00:00,712680,914687,1738,1.6,157838.1645,84.6182,0.0014788,3.9063,11,good,17.5,81.7,-124.5,275.7,35.4,-14.4,medium,3.82079,-73.66338
Cubarral,2019-09-26T23:54:00.886+00:00,712163,914740,1906,2,237436.1895,103.8912,0.0012841,4.6875,11,good,61.1,50.1,-116.8,279.3,46.8,-61.7,medium,3.82125,-73.66803
Cubarral,2019-09-21T23:10:38.422+00:00,713432,914778,1872,2,181278.6103,113.3359,0.0012943,4.2969,12,good,77.6,43.5,-88,254.8,46.6,-91.9,medium,3.82163,-73.65662
Cubarral,2019-09-11T01:09:39.278+00:00,714787,915969,2273,1.5,91937.3698,103.8912,0.00051559,4.6875,12,good,23.1,60.5,-147.5,275.7,62.1,-33.9,medium,3.83243,-73.64447
Cubarral,2019-09-10T04:35:18.576+00:00,713070,914504,1820,1.8,64028.669,151.3843,0.00063145,3.3203,10,good,57.3,40.5,-110.3,263.2,52.5,-73.5,good,3.81915,-73.65987
Cubarral,2019-09-03T11:17:25.334+00:00,713379,914755,1907,1.6,41653.6571,103.8912,0.00023154,4.6875,9,good,29.9,82.8,-145.2,294.9,55.5,-8.8,medium,3.82142,-73.6571
